Person,File,Transcription,Pauses
Maureen Forrester,maureenforrester_5.wav," You  know,  if  you've  ever  gone  to  a  place  hospice  like  Casey  House  and  you  see  all  these  wonderful  young  people, (pause for 0.8s)  you  know,  allying  in  beds,  a  lot  on  the  main  floor,  they're  mostly  in  wheeled  chairs  and  some  walking  around  it. (pause for 0.6s)  But  they  all  know  their  life  is  coming  to  an  end,  it's  a  turn  on.  And  I  would  go  upstairs,  especially  at  Christmas  time,  I  used  to  do  a  program  for  them  every  Christmas, (pause for 0.6s)  and  go  upstairs  and, (pause for 0.8s)  you  know,  as  a  mother,  it  would  be  do  terrible  things  to  me.  But  I  tried  to  put  that  aside,  and  I'd  put  my  armor  on  somebody  who  was  almost  out,  you  know,  and  say,  did  you  mind  there  ever  sing  something  you  liked,  you  know, (pause for 0.7s)  that  you  really  liked  it.  Maybe  I  know,  and  maybe  I  could  sing  for  you,  and  they'd  say, (pause for 0.6s)  oh,  I  don't  know,  I'd  say,  well,  maybe  this  one,  and  I'd  sing  Sister  Mary  or  something,  one  of  the  Christmas  things  I  do. (pause for 0.6s)  And  they'd  get  the  most  sort  of  peaceful  look  over  their  face  and  fall  asleep. (pause for 0.8s)  But  I  would  call  back  the  next  day,  say,  how's  George  doing  today?  Oh,  we  lost  George  last  night. (pause for 0.6s)  You  know,  but  then  you  feel  that  if  anything,  you  help  them.","(pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause"
Ray Galton,RayGalton_5.wav, I  was  standing  there  now  in  the  middle  of  our  street  watching  this  dude  about  coming  over  and  I  was  with  a  couple  of  friends  or  one  way  that's  going  and  then  the  engine  stopped  and  it  immediately  did  that  and  it  was  diving  straight  for  us  and  we  didn't  know  what  we  rushed  in  all  directions  and  then  to  his  house  because  that  was  an  iris  and  then  everybody  in  those  days  just  to  keep  the  key  on  a  piece  of  string  through  the  letterbox  you  know  put  your  hand  in  the  lead  but  pull  the  string  out  and  the  key  on  the  end  to  get  it  and  we  trying  to  do  that  in  order  to  get  through  his  house  to  get  to  the  air  shelter  and  there  was  so  much  squabbling  going  on  with  the  key  in  the  piece  of  string  they  would  have  just  threw  ourselves  on  the  floor  and  hope  for  the  best  and  like  all  bombs  and  things  like  that  explosions  they  always  seem  much  nearer  than  they  are (pause for 0.9s)  and  I  think  the  buzzbone  when  it  came  down  got  caught  in  the (pause for 1.6s)  electricity  pile  on  you  know  so  I  didn't  really  leave  school  because  when  we  came  up  to  a  leave  in  it  was  bombed  damaged  so  I  I  didn't  go  back  and  that  was  it  never  saw  me  again,"(pause, (pause"
Bobby Womack,BobbyWomack_0.wav, is  that  you  have  to  love  what  you  do  before  anything  else  is  because  this  business  is  a  cold  business.  It  will  take  you  out  and  it  will  break  your  heart  and  most  artists  get  taken  advantage  of  when  they're  real  young  and  naive. (pause for 0.9s)  So  I  know  through  me  loving  the  business  so  much  it  never  was  a  thrill  that  I  would  say  I  just  want  to  be  left  alone.  I  want  to  get  out. (pause for 0.7s)  As  long  as  I  can  say  I  can  deal  with  it. (pause for 0.6s)  So  put  the  music  first  and  not  the  materialistic  things  that  you  can  buy  from  it  or  you'll  be  chasing  that  rainbow.,"(pause, (pause, (pause"
Jimmy Calderwood,JimmyCalderwood_5.wav," bwlar,  am  gwisoddion  mwg  i 'r  cydisiau  yn  niws.  I 'r  niws  yn  niwl  i 'r  cydisiau  datw,  ac  mae  ddweud  rhywbeth  o 'n  cydio,  ac  mae 'r  cydio 'r  maniau  a 'r  wyloeddwn (pause for 0.8s)  ynam  yng  Nghymn, (pause for 0.8s)  ac  mae 'n  ddweud  cydisiau  cydio 'r  aynw  bod,  o 'r  cydioór  yn  unrhymdu.","(pause, (pause"
Otis Chandler,OtisChandler_5.wav," Recently  retired  after  50  years  with  Los  Angeles  Times  and  the  Times  Mirror  Company. (pause for 0.6s)  I  was  publisher  for  many  of  those  years. (pause for 0.6s)  I  trained  in  all  the  departments  when  I  got  to  the  Air  Force  and  worked  in  every  department.  I  sold  advertising  and  I  worked  in  the  press  room  and  all  of  that.  And  then  after  I  left  the  Times,  I  ran  the  Times  Mirror  Company,  which  owns  other  newspapers  and  media  around  the  country. (pause for 0.6s)  So  that  occupied  most  of  my  time.  That  was  a  great  fun  too.  But  the  cars  were  a  great  balance.  I'd  get  tied  up  in  meetings  and  then  I  just  tell  my  secretary,  you  know,  I  just  got  to  leave.  Tell  the  people  I  just  can't.  So  I  get  my  car  and  go  out  to  a  little  garage. (pause for 0.7s)  I  had  out  in  El  Mane  and  there  were  a  few  cars  and  porches.  And  just  to  stand  there  and  just  kind  of  look  at  them  and  then  go  back  to  my  next  meeting,  it  was  a  good  de -stresser.","(pause, (pause, (pause, (pause"
Jessejackson,Jessejackson_0.wav," and  ten  minutes  I  hit  it,  and  then  it  takes  me  thirty -five,  one  of  the  minutes  I  got  to  put  my  pants  on. (pause for 2.2s)  And  then  this  little  guy  to  get  some  like  a  shoe  horn,  a  long  shoe  horn,  and  get  your  legs  up, (pause for 1.5s)  pants  on. (pause for 1.9s)  Everything  is  slower, (pause for 1.1s)  but  more  purposeful.  I  could  not  get  a  pile  of  a  chair  because  it  was  so  intense. (pause for 1.2s)  And  then  I  couldn't  comb  my  hair,  lop  her  right  hand  and  it  couldn't  shave. (pause for 1.0s)  So  you  find  yourself  deteriorating  real  fast,  and  so  I  put  all  that  together  and  I  said,  look  here,  we're  good.","(pause, (pause, (pause, (pause, (pause, (pause"
Paul Hornung,paulhornung_10.wav," just  met, (pause for 0.8s)  that  you  just  heard  me  talk  about  Uncle  Henry  and  Frank  Metz  and  then  of  course  Lombardi. (pause for 0.6s)  After  I  was  21  years  old,  my  professional  career  was  completely,  if  there  was  any  success,  it  was  because  of  him. (pause for 0.7s)  He  was  the  driving  force  in  Paul  Harning. (pause for 1.2s)  It  was  ever  a  decision  clerk  that  I  had  to  meet, (pause for 0.7s)  whether  it  was  me  business.  He  once  told  me, (pause for 0.7s)  I  went  to  him,  I  said,  Coach,  I  got  a  problem,  I  want  to  talk  to  you  about  it.  He  said,  what's  wrong?  He  said,  well,  they've  offered  me  a  position  in  politics  here  in  Wisconsin.  They  want  me  to  run  and  they  want  me  to  be, (pause for 0.5s)  hold  some  kind  of  office. (pause for 0.6s)  And  they  said,  all  I  would  have  to  do  was  be  there  once  a  month. (pause for 0.6s)  And  I  was  going  to  be  paid  something  like  $50,000  a  year  when  $50,000  was  a  lot  of  money.  And  I  said,  you  think  I  should  consider  it?  Ben  said,  what? (pause for 1.1s)  He  said,  consider  it.  You  throw  it  away.  He  said,  you  go  back  and  tell  those  people  if  they  want  you  to  run  for  governor,  you'll  think  about  it.  But  outside  of  that,  you  don't  want  any  job  in  politics  or  you  don't  want  one.  And  I  once  told  him  to  back  in  Turkey  for  that  chicken.  I  told  the  coach,  I  told  four  players,  I  told  the  whole  team,  but  four  players  bought  some.","(pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause"
Paul Hornung,paulhornung_0.wav," I  think  it  progresses  to  a  point,  I  think  you  can  look  back  on  some  of  the  great  players  I  played  against.  I  think  would  be  very  standouts  today. (pause for 1.0s)  Jim  Brown  of  course,  I  always  felt  was  best  football  player  that  I've  ever  seen  along  with  Gail  Saras  and  those  type  of  football  players  are  going  to  make  it  in  today's  world. (pause for 0.7s)  And  Aaron  Rogers, (pause for 0.5s)  a  guy  like  that,  he  made  it  in  our  world.  There  was  no  question  about  that. (pause for 1.9s)  But  it's  nice  to  get  around  and  to  see  my  friends,  I  come  here  to  close  up  in  Chicago  as  I  see  Dicke  all  the  time  and  I  played  against  Mike  for  so  many  years  there  at  Green  Bay  and (pause for 0.8s)  he's  such  a  one  hell  of  a  guy. (pause for 0.6s)  I  get  to  see  John  Lattner,  I  bring  him  down  to  my  dinner.  I  have  a  dinner  every  year  that  we  give  out  to  the  most  versatile  college  football  player,  the  Paul  Horning  Award  and  I'm  enjoying  that  dinner  every  year  in  February. (pause for 0.9s)  This  year  is  February  25th  and  I  bring  in  good  speakers  and  they  enjoy  it  very  much.  I  was  trying  to  get  Warren  Buffett  to  come  in, (pause for 0.7s)  be  my  speaker  this  year  but  he's  a  little  tough  to  handle  as  far  as  traveling  so  but  anyway  we  enjoyed  that  very  very  much.","(pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause"
Peter Falk,PeterFalk_15.wav," So  the  guy  says  to  me,  can  you  meet  us  in  the  hotel  century  pauses,  six  o 'clock?  I  said,  oh,  that'll  be  there. (pause for 0.9s)  I  don't  know  what  the  hell  he  was  talking  about,  you  know. (pause for 1.3s)  So  I  get  there, (pause for 0.5s)  there's  two  guys  from  the  State  Department  there, (pause for 0.8s)  and  there's  a  remaining  there,  he's  from  the  embassy. (pause for 1.1s)  So  they  explain  to  me,  they  say,  Peter, (pause for 0.5s)  the  remaining  government  has  very  severe  restrictions  on  the  number  of...","(pause, (pause, (pause, (pause, (pause, (pause"
Peter Falk,PeterFalk_10.wav," Yes,  what  happened  was  I  didn't  even  know  they  were  doing  the  play,  but  one  of  the  actors  got  sick  a  couple  nights  before  the  play  was  going  to  open  and  they  came  to  me  as  the  class  president  and  said  you  have  to  help  us  outstep  in  and  play  the  part  and  I  did. (pause for 1.5s)  And  the  believe  it  or  not, (pause for 0.9s)  the  part  was  of  a  detective  who  came  to  me.","(pause, (pause"
Jim McLean,jimmclean_10.wav," While  that  was  never  accept  meOO  orders��,  that  was  a  major  problem,  and  it  was  John  Prentice  who  contained  Romaunyalad  amdd  Mae 'r  gweld  i  beth可  ddyni  mo  him  yn  yw 'n  fwysithio  ac  yn  ffodd  centi  beth  y  ffodd  yn  eisiau  adegu 'r  iawn  dddol,  ythym  ni 'n  gwybodau,  ac  fellyad  y  schos  ar  fi  yn  ei  ffodd  og  ffoddau, (pause for 2.9s)  ac  ymdo  ni 'n  ddefnyddio  i 'n  ffodd  ac  iawn  gwneud,  a  ei  ffodd  o 'i  argyn  edrygu  dwi 'n  ddefnyddio. (pause for 0.6s)  Iwn  ei  ffodd  ac  rydyn  nhw 'n  angheillu  darod  yn  arall,  a 'uastrwch  yn  gwneud  i 'r  llwch  ysgwraith  o  frpynaeth. (pause for 2.2s)  Mae 'n  gael  mynd  trynddol  gwahanol  ar  yw 'n  gwignol,  a  ymgyrch  yn  gael  da  plychewd  o  hw 'r  allan.  Mae 'r  gwahanol  ar  ôl,  felly,  yma  mwynn  ond  a 'r  wneud  ymw 'n  gwahanol  ar  ôl.","(pause, (pause, (pause"
Maurice Hinchey,mauricehinchey_5.wav," a  few  words  in  favor  of  what  is  attempting  to  be  done  here  in  the  context  of  this  bill. (pause for 0.6s)  The  tarp  situation,  which  as  we  remember  was  set  up  last  fall, (pause for 0.6s)  and  in  effect  ran  through  here  by  the  then  Secretary  of  the  Treasury, (pause for 0.6s)  authorized  the  expenditure  of  $700  billion. (pause for 1.7s)  And  under  the  last  administration,  about  $380  billion  had  already  been  spent.  So  what  we're  trying  to  do  here  now  is  to  make  sure  that  the  rest  of  this  money  is  spent  in  appropriate  ways.  We've  already  set  up  the  special  inspector  general  establishing  that  piece  of  responsibility  here.  And  now  what  we're  doing  in  the  context  of  this  bill  is  putting  into  effect  all  the  measures  that  are  going  to  ensure  the  effectiveness  of  that  special  inspector  general.  To  make  sure  that  he  has  the  ability  to  carry  out  his  responsibilities,  to  oversee  the  way  in  which  this  money  is  being  allocated,  how  it  is  being  used.  The  impact  of  its  use  is  none  of  that  was  included  in  that  tarp  bill,  which  the  previous  Secretary  of  the  Treasury  came  here  and  in  effect  forced  through  the  Congress.  So  this  is  an  essential  element  here. (pause for 0.7s)  This  legislation  is  critically  important. (pause for 0.7s)  We  need  to  make  certain  that  these  economic  circumstances  are  dealt  with,  but  that  they're  dealt  with.","(pause, (pause, (pause, (pause, (pause, (pause"
Maurice Hinchey,mauricehinchey_0_1.wav," Thank  you  very  much,  and  it's  a  great  pleasure  for  me  to  be  here  with  all  of  you,  and  I  really  thank  you  very  much  for  being  here  with  us. (pause for 0.5s)  Thank  you.  Thank  you  very  much  for  bringing  us  here  and  getting  us  an  opportunity  to  see  the  operation  here  more  closely. (pause for 0.9s)  And  to  understand,  for  example,  all  the  progress  that  we've  made,  including  50 %  increased  unemployment  here  over  the  course  of  the  last  year  or  so, (pause for 0.5s)  obviously  very,  very  good  and  very,  very  important.  Now  the  Magnetics  is  a  very  important  place  here  in  the  Hudson  Valley,  and  it's  going  to  continue  to  be  and  it's  going  to  continue  to  expand  because  of  all  the  positive  things  that  it's  doing  for  a  whole  host  of  things,  including  the  military  operation  in  our  country. (pause for 0.7s)  I  also  want  to  express  my  deep  appreciation  to  Senator  Gilbert.  She  is  a  great  person.  We  are  very  fortunate  here  in  New  York  to  have  somebody  with  as  much  insight,  as  much  intelligence,  as  much  energy  and  determination  to  do  the  right  kinds  of  things. (pause for 0.6s)  And  the  main  focus  of  her  attention  right  now, (pause for 0.7s)  well,  maybe  one  of  the  main  focuses  of  her  attention  right  now,  is  on  job  creation, (pause for 0.5s)  and  job  creation  is  one  of  the  most  important  things  that  we  need  to  do.  We  have  8.2 %  unemployment  here  in  New  York,  which  is  a  lot  better  than  it  is  in  other,  well,  not  a  lot  better,  but  a  little  bit  better  at  least,  and  it  is  in  other  places  across  the  country.  And  a  lot  of  other  places  are  much  higher  than  that,  but  the  average  of  9.2 %  has  also  a  little  bit  lower.","(pause, (pause, (pause, (pause, (pause, (pause, (pause"
Maurice Hinchey,mauricehinchey_0_2.wav," Understand  what  the  obligations  and  mostly  the  responsibilities  are  of  this  new  circumstance (pause for 0.6s)  in  this  job,  this  job  of  representing  the  people  here  in  the  Congress  of  the  United  States.",(pause
John Mackey,johnmackey_15_1.wav," I'm  in  a  room,  there's  seven,  eight,  nine  against  two. (pause for 0.6s)  We  don't  play  a  football  game  like  that.  Cello  Kio  handed  me  a  piece  of  paper  and  said, (pause for 0.7s)  as  a  precondition, (pause for 0.5s)  I  demand  that  you  sign  this. (pause for 0.5s)  And  I  looked  at  that  piece  of  paper  and  I  started  reading  it.  And  I  got  down  to  an  area  that  said,  you  must  sign  away  the  rights  to  ever  negotiate  preseason  pay.  And  my  lawyer  took  it  from  me.  He  said,  ball  of  play,  just  ball  of  play  gone  and  signed.  I'm  sitting  down  and  saying,  sign  away  the  rights  and  perpetrate.  That  sounds  like  a  hell  of  a  long  time. (pause for 0.7s)  Our  grandchildren  are  going  to  be  playing  for  the  same  amount  that  I'm  playing  for.  I  can't  believe  this.  So  now  I  don't  know  who  the  trust  I  stood  up  and  said,  I  got  to  talk  to  my  attorney  outside. (pause for 0.5s)  I  took  that  piece  of  paper  and  I  said  to  my  lawyer, (pause for 0.5s)  I  will  never,  I  will  never  sign  it. (pause for 0.5s)  And  I  put  it  in  my  pocket. (pause for 2.1s)  That  was  the  start. (pause for 0.5s)  Back  in  19.","(pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause"
John Mackey,johnmackey_15_2.wav," I  really  don't  know  why  I  broke  those  tackles,  but  when  I  saw  those  defendants  coming, (pause for 0.7s)  I  made  it  for  my  mind  that  I  was  going  to  punish  somebody  that  was  going  to  run  right  through  them.",(pause
