Person,File,Transcription,Pauses
Barry Levinson,BarryLevinson_1.wav," You  know,  it  was  a  live -wire  manic,  yeah. (pause for 0.8s)  And  I  think  that,  later, (pause for 0.6s)  I  was,  I  met  him  once  and  I  thought  he  had  to  kind  of,  he  could  have  this  certain  simplicity  that  I  wanted  and  that  ultimately  there'd  be  sort  of  a  kind  of  a  mystery  to  William  because  William,  we  only  find  a  little  bit  about  in  pieces  throughout  as  to  what  must  have  gone  on,  why  he  came  out  there,  you  know, (pause for 0.8s)  what  was  happening  in  his  life.  You  know,  but  I  thought  there  was  a  simplicity,  I  thought  it  would  work  quite  well.  And  Victoria, (pause for 0.7s)  I  was  looking  for  a  Spanish  woman  because  I  mean  Hollywood  has  a,  is  enormous  Spanish -speaking,  you  know,  community, (pause for 0.6s)  and  I'm  not  seeing  that  portrayed  that  way  and  I  wanted  to  have  that  element  in  the  film. (pause for 1.0s)  And  someone  had  mentioned  her  and  we  ultimately  got  a  chance  to  meet  and,  you  know,","(pause, (pause, (pause, (pause, (pause, (pause"
Barry Levinson,BarryLevinson_3.wav," I  don't  know  that  I  look  at  it  that  way. (pause for 0.9s)  You  know,  I  don't  take  any  more  pride  in  one  thing  or  another. (pause for 3.6s)  I,  you  know, (pause for 0.5s)  I  mean,  I  think  Rain  Man (pause for 0.8s)  in  the  idea  that  it  was  the  first  film  that  really  created  the  awareness  of  autism (pause for 0.6s)  and  put  it  on  the  language, (pause for 1.0s)  you  know,  and  what  it  was,  because  I  remember  getting  a  letter  from  a  mother  of  an  autistic  boy  and  she  was  saying  that  the  film,  you  know,  by  saying  autism, (pause for 0.6s)  that  I'm  finally  able  to  say  what  he  has  and  people  understand (pause for 0.7s)  because  I  was  always  trying  to  explain  his  condition  and  I  never  could  explain  it  and  no  one  understood. (pause for 1.0s)  And  that  the  film  defined  that (pause for 1.2s)  and  then  the  awareness  came  from  it.  So  that's  always  a  byproduct  of  a  film  you  make  is  that  somehow  here  this  is  autism. (pause for 1.0s)  This  is  what  it  is  and  to  the  mothers  and  the  fathers,  you  know,  to  the  brothers  and  the  sisters  of  an  autistic,  you  know,  kid, (pause for 0.5s)  it's  now  clear (pause for 0.9s)  where  before, (pause for 1.0s)  you  know,  it  was  sort  of  ill -defined  in  a  way. (pause for 0.5s)  And  so  the  awareness  that  came  from  it,  you  know,  but  you  can't  predict  any  of  those  things. (pause for 0.9s)  You  can  certainly  say  how.","(pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause"
Barry Levinson,BarryLevinson_2.wav," Well  in  54  this  is  a  little  bit  this  would  move  me  back  as  I  was  a  little  younger  at  that  time  Although  I  you  know  I  was  around  and  saw  those  things  I  mean  since  seems  inconceivable  in  1954  they  would  have  been  assigned  that  said  you  know  no  Jews  You  know  Jews  dogs  or  colors  allowed  it  seems  absolutely  inconceivable,  but  it  was  and  what  happens  you  didn't  really  kind  of (pause for 0.7s)  It's  not  up  on  you  because  you  didn't  know  that  for  instance  that  you  were  not  accepted  in  certain  places (pause for 0.6s)  And  I  mean  the  movie  begins  that  I  you  know  as  a  cut  as  a  kid  I  thought  the  whole  world  was  Jewish  right  and  then  you  find  out  that  you  know  That  some  people  are  different  and  then  you  realize  that  almost  no  one  in  the  world  is  Jewish  and  then  you  really  are  a  minority  You  know  that  this  is  whole  learning  curve  that  you  go  through  so (pause for 1.3s)  Those  experiences  of  crossing  falls  road  in  Baltimore (pause for 0.9s)  Were  real  we  went  into  other  territories  we  had  met  you  know  people  that  we  had  not  been  familiar  with  and  they  were  not  familiar  with  us  Which  caused  a  lot  of  you  know  problem","(pause, (pause, (pause, (pause"
Robert Wagner,RobertWagner_3.wav, in  Los  Angeles  but  you  know  I  just  I  have  so  many  I  work  with  a  lot  of  young  people  and  they  ask  me  about  the  golden  era  they  ask  me  about  that  what  was  that  like  what  was  the  contract  system  like  what  how  did  that  happen  and  they  don't  they  don't  know  anything  about  that  they  don't  know  that  Columbia  had  20  young  people  under  contract  and  Fox  had  30  and  MGM  had  40  and  Warner's  had  30  and  all  of  these  young  we  were  all  young  actors  trying  to  get  in  the  movies  you  know  we  were  excited  about  it  they  they  took  me  off  the  street  a  green  kid  knowing  nothing  and  they,
Stan Lee,Stan Lee_1.wav," and  predators  listening,  but  basically,  I  guess, (pause for 1.0s)  you  have  to, (pause for 0.6s)  the  big  thing  is  the  readers  of  our  comic  books,  and  we  specialize  in  superhero  fantasy  stories. (pause for 0.6s)  They  love  to  be  surprised,  and  this  is  really  the  most  difficult  thing  when  you  grind  out  so  many  stories,  but  each  story  has  to  have  an  element  of  something  new  and  something  unexpected,  you  know.  And  our  formula  basically  is  to  mix  fantasy  with  realism. (pause for 0.7s)  In  other  words,  we'll  take  a  character  who's  got  superhuman  power.  Let's  say  he  can  fly  through  the  air  or  like  Spider -Man,  he  can  climb  on  walls. (pause for 0.7s)  We  take  him  and  we  say,  suppose  there  were  such  a  character,  and  he  really  existed  in  the  real  world,  what  problems  would  he  have? (pause for 0.5s)  What  would  he  do  with  faced  with  a  certain  situation? (pause for 0.8s)  I  say,  if  I  were,  if  I  had  superhuman  powers,  which  is  not  for  a  moment  to  concede  that  I  don't, (pause for 1.3s)  what  would  my  intensity  and  what,  for  instance,  wouldn't  I  still  have  to  worry  about  Dandruff  or  about  athlete's  foot  or  making  a  living  or  having  my  dates  like  me  and  so  forth? (pause for 0.5s)  So  we  take  these  bigger -than -life  characters  and  we  give  them  very  life -like  qualities  and  problems,  and  that  had  never  been  done  in  comics  before,  you  see.  The  heroes  had  always  been  just  sort  of  cardboard  characters  who  were  always  good,  virtuous,  noble,  never  worrying  about  money,  never  had  any  problems.  Had  they  just -","(pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause"
Stan Lee,Stan Lee_2.wav," Well,  they  were  perfect  in  the  sense  of  the  characters  they  were  portraying. (pause for 0.5s)  But  we  tried  to  bring  comics  a  little  more  into  the  real  world. (pause for 0.6s)  You  know,  I  shouldn't  really  say  this,  but  the  chances  are  that  possibly  even  you  and  I  are  perfect. (pause for 0.6s)  I  wouldn't  say  that  about  Marina  Harin.  I  know  she  is,  but  today  most  people  just  aren't.  We  tried  to  make  our  characters  have  feet  of  clay,  poor  Spider -Man.  I  mean,  okay,  he's  pretty  good  at  catching  bad  guys,  but  he's  apt  to  get  an  allergy  attack  while  he's  fighting.  He  worries  about  Dandruff.  He'll  have  an  ingrown  toenail  tears  his  costume.  His  Aunt  May  won't  let  him  go  out  to  save  the  world  because  he's  not  wearing  his  galoshes  and  it's  snowing  out. (pause for 0.6s)  And  the  funny  thing  is,  I  started  doing  that  as  a  gag  and  really  to  keep  myself  awake,  you  know. (pause for 0.5s)  And  I  found  that  the  readers  are  as  crazy  as  I  am.  They  started  enjoying  this  sort  of  thing. (pause for 0.5s)  So  after  20  years  of  writing  pap  and  writing  things  like  the  strips  you  mentioned  before, (pause for 0.5s)  I  suddenly  realized,  yeah,  I  can  actually  have  fun  with  what  I'm  doing. (pause for 0.6s)  And  now, (pause for 0.6s)  the  more  realistic  we  make  our  characters, (pause for 0.5s)  the  more  the  college  kids  who  read  them  think  that  it's  satire,  which  has  taught  me  a  very  great  lesson.  The  world  is  so  crazy  that  if  you  present  things  the  way  they  really  are,  it  comes  across  as  broad  satire.  And...","(pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause"
Stan Lee,Stan Lee_3.wav," So,  I  thought  that  was  good,  now  I  needed  a  name. (pause for 0.7s)  So,  let's  see,  fly  man, (pause for 0.6s)  mosquito  man. (pause for 0.7s)  I  got  down  to  Spider -Man,  Spider -Man.  It  just  sounded  dramatic. (pause for 0.7s)  So,  okay,  I  had  my  hero.  I  had  his  power,  his  name. (pause for 0.7s)  And  then  I  figured  just  for  fun, (pause for 0.5s)  I'm  going  to  give  him  personal  problems, (pause for 0.5s)  because  except  for  you  people  who  are,  that  your  lives  are  perfect.  But  most  other  people  have  personal  problems. (pause for 1.1s)  And  then  I  thought  I'd  make  a  teenager, (pause for 0.8s)  because  there  were  no  teenage  superheroes  that  I  knew  of  at  the  time. (pause for 0.6s)  So,  armed  with  all  that  wonderful  material,  those  great  ideas, (pause for 0.7s)  I  ran  into  my  publisher's  office  and  I  told  him, (pause for 0.9s)  this  was  my  reaction,  the  reaction  he  gave  me. (pause for 1.5s)  Stan,  that  is  the  worst  idea  I  have  ever  heard. (pause for 0.9s)  First  of  all,  and  he  started  to  give  me,  because  he's  a  very  logical  man,  very  intellectual. (pause for 1.1s)  First  of  all,  people  hate  spiders, (pause for 0.7s)  so  you  can't  call  a  hero  Spider -Man. (pause for 1.1s)  You  want  him  to  be  a  teenager? (pause for 0.8s)  Teenagers  can  only  be  sidekicks. (pause for 0.7s)  And  you  want  him  to  have  personal  problems. (pause for 0.8s)  Stan,  don't  you  know  what  a  superhero  is?  They  don't  have  personal  problems. (pause for 0.9s)  Well,  I...","(pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause"
Line Renaud,LineRenaud_3.wav," Les  rencontres,  j 'appelle  ça  le  déchint  parce  que  j 'avais  jamais  prévu  de  rencontrer  tous  ces  gens -là, (pause for 0.5s)  je  ne  savais  même  pas  qu 'ils  existaient,  je  ne  savais  même  pas  que  chanter  était  un  métier.  Pour  moi,  les  gens  qui  chantaient  à  la  radio  étaient  des  gens  qui  avaient  beaucoup  de  chance  parce  qu 'ils  pouvaient  chanter  tous  les  jours, (pause for 0.5s)  mais  je  ne  pensais  pas  que  c 'était.","(pause, (pause"
Line Renaud,LineRenaud_1.wav," En  France,  c 'est  une  question  très  difficile,  parce  que  c 'est  l 'accumulation  des  souvenirs.  Je  crois  que  le  meilleur  souvenir,  c 'est  l 'amour  qui  règne  dans  cette  troupe.  On  s 'adore, (pause for 0.5s)  et  c 'est  pour  ça  que  ce  soir  le  revoir  sera  vraiment  très  pénible, (pause for 1.6s)  parce  qu 'il  y  a  beaucoup  d 'amour  entre  nous. (pause for 0.5s)  C 'est  un  mariage  qui  a  duré  quatre  ans  avant  tous  les  mariages.  Il  y  avait  des  petites  scènes  de  ménage,  mais  ça  n 'était  que  pour  mieux  s 'aimer  après  d 'ailleurs.","(pause, (pause, (pause"
Warren Beatty,WarrenBeatty_3.wav," all  of  those  things. (pause for 0.6s)  I  don't  want  to  pontificate  on  your  show  about  this, (pause for 0.5s)  because  you're  editing, (pause for 0.6s)  and  I'm  not. (pause for 0.6s)  And  so  I  want  to  be  very  clear  about  what  I  say,  and  I  have  learned  in  my  long  period  of  being.","(pause, (pause, (pause, (pause"
Roger Waters,RogerWaters_3.wav," hard.  Anyway,  I  don't  think  it's  really  interesting. (pause for 0.8s)  But,  you  know,  there's  a  whole  bunch  of  things,  which  is  this  basketball  season  and  there's  a  hockey  season.  We  share  venues  with  these  places. (pause for 0.5s)  It's  the  same  places  that  all  that  happens,  that  rock  and  roll  shows  happen  in.  So  there's  always  a  scheduling  thing.  That's  why  the  summer  is  the  time  that,  you  know,  people  go  out  because  it's  not  the  middle  of  the  NBA  season.  And  it  doesn't  clash  with  hockey.  So  if  you  clash  with  hockey  and  basketball, (pause for 0.5s)  you  can't  work  unless  you're  working  in  the  beacon, (pause for 0.5s)  which  is  lovely. (pause for 0.5s)  I  mean,  I've  talked  with  that  idea  as  well.  There's  something  about  being  in  a  tiny  theater  with  a  few  hundred  people  that  is  at  very,  very  challenging. (pause for 0.7s)  But,  but  extremely","(pause, (pause, (pause, (pause, (pause, (pause"
Roger Waters,RogerWaters_2.wav," we  became  close, (pause for 0.7s)  you  know,  when  we  were  teenagers  and  when  we  were  all  sort  of  pretending  to  be  interested  in  Lawrence  Firm  and  Getty  and  Alan  Ginsberg  talking  about  smoking  dope  but  not  doing  it,  you  know,  those  days  in  the  early  60s. (pause for 0.8s)  And  that  was  all  sort  of  mixed  in  with,  I  mean,  I  remember  when  Sid  went  out  and  bought  a  future  armour  three, (pause for 0.6s)  you  know,  red  sort  of  plastic  guitar, (pause for 0.7s)  whereas  before  that  people  had  been  biddling  around  with  acoustic  guitars  and  music  was  about  C  and  D  and  it  was  much  more  woody -gathery  than  the  shadows. (pause for 0.6s)  But  then,  you  know,  walk,  don't  run  and  patchy  in  those  things,  suddenly  kids  started  to  sit,  I  remember  particularly,  you  know,  would  learn  to  play  a  patchy. (pause for 1.7s)  I  couldn't  play  anything  at  that  time,  so  it  was  all  a  stranger.","(pause, (pause, (pause, (pause, (pause, (pause"
Raquel Welch,RaquelWelch_1.wav," I  had  a  really  interesting  press  conference  when  I  first  came  into  town  to  promote  the  film  with  all  the  sports  writers. (pause for 0.8s)  And  they  said,  gee,  you  know, (pause for 0.5s)  you're  a  nice -sized  lady  and  all  that,  but  you  know,  you're  not  exactly  what  I  expected.  And  I  said,  I  know  I  always  seem  to  disappoint  people  if  I  walk  in  the  door.  And  the  door  hinges  don't  splinter  off  that  type  of  thing. (pause for 0.6s)  It's  really  expecting  that. (pause for 0.5s)  I  don't  know,  coming  with  a  machete  or  something,  I  guess  I  must  be  pretty  intimidating. (pause for 0.6s)  I  always  say  it's  because  my  shoulders  are  very  broad.","(pause, (pause, (pause, (pause, (pause"
Raquel Welch,RaquelWelch_2.wav," the  captain. (pause for 0.6s)  Yes,  well  the  captain  actually  refers  to  the  building  which  is  El  Capitan  and  it's  a  special  building  because  it's  kind  of  a  landmark  building  in  Old  Hollywood  that  in  the  30s  was  where  all  the  big  stars  and  so  forth  stayed  especially  when  they  were  starting  out  in  the  business  and  so  now  it's  today  and  today  we  have  like  all  this  will  we  it's  a  sort  of  a  loosely  knit  family  yes  and  I  am  one  of  the  people  in  the  building",(pause
Raquel Welch,RaquelWelch_3.wav," But  you  know,  I  just  find  that  dating,  do  you  remember  it  in  high  school?  Right.  It  was  just  so, (pause for 0.7s)  and  then  when  you  get  a  little  older,  like  in  your  20s  or  30s  and  you're  dating,  and  you're  going,  oh, (pause for 0.6s)  there's  got  to  be  an  end  to  this.  There's  got,  you  know,  it's  just,  it's  not  that  much  fun.  It's  like  very  anxiety  prone,  and  you  wonder  what  the  poor  guy  is  thinking  too. (pause for 0.5s)  Me  is  probably  got  all,  you  know, (pause for 1.1s)  terrible  nerves  and  everything.  So  I,  you  know,  it's  not  that  much  fun.  I  mean,  if  I  saw  Mr.  Wright,  I  certainly  would  say.","(pause, (pause, (pause, (pause"
